Specimen_ID	Depth_m	Bc_[mT]	Brh_[mT]	Bcr	Ms_(Am2/Kg)	Mrs_(Am2/Kg)	Mrs/Ms	Bcr/Bc	Xhf/kg_minus pot
ssk115_455	1057.503566	15.3	53.5	46.47	8.95E-04	1.97E-04	0.22039299	3.037254902	3.82E-08
ssk115_454	1059.179966	14.6	49.2	47.64	7.76E-04	1.70E-04	0.219465649	3.263013699	3.65E-08
ssk115_453	1060.246766	14.4	49.3	45.96	1.14E-03	2.26E-04	0.197549228	3.191666667	5.74E-08
ssk115_452	1061.618366	16.3	50.3	51.02	6.70E-04	1.75E-04	0.260335506	3.13006135	5.50E-08
ssk115_451	1063.751966	17.1	52	50.54	6.14E-04	1.52E-04	0.247997712	2.955555556	4.72E-08
ssk115_450	1066.799966	10.5	39.3	35.14	5.68E-04	1.11E-04	0.195478723	3.346666667	3.16E-08
ssk115_449	1069.695566	10.6	43.6	38.27	9.36E-04	1.24E-04	0.132347944	3.610377358	3.29E-08
ssk115_448	1072.895966	9.9	39.4	35.45	1.30E-03	2.00E-04	0.153975741	3.580808081	5.15E-08
ssk115_447	1073.657966	8.9	39.4	37.5	9.03E-04	1.40E-04	0.154588113	4.213483146	3.15E-08
ssk115_446	1074.115166	10.4	42.5	33.13	1.05E-03	1.73E-04	0.164390089	3.185576923	3.45E-08
ssk115_445	1075.791566	11.1	39.7	38.18	6.31E-04	1.18E-04	0.187022901	3.43963964	4.39E-08
ssk115_444_new	1076.858366	10.3	39.4	44.94	5.18E-04	9.77E-05	0.188596491	4.363106796	4.57E-08
ssk115_443	1077.925166	10.2	43.6	37.25	1.73E-03	1.73E-04	0.099924204	3.651960784	4.38E-08
ssk115_442	1078.687165	10.1	44.8	38.08	1.43E-03	2.18E-04	0.151906713	3.77029703	4.58E-08
ssk115_441	1078.991965	11.3	38.4	37.75	4.29E-04	8.60E-05	0.200391007	3.340707965	3.85E-08
ssk115_440	1079.753965	10.2	46.3	38.08	9.27E-04	1.53E-04	0.164627364	3.733333333	4.12E-08
ssk115_439	1080.668365	9.1	43.9	37.25	2.10E-03	1.56E-04	0.073929572	4.093406593	3.49E-08
ssk115_438	1081.735165	12.6	47.9	41.44	8.94E-04	1.64E-04	0.183911883	3.288888889	3.90E-08
ssk115_437	1082.649565	10	39.8	35.15	4.60E-04	9.41E-05	0.204724409	3.515	5.43E-08
ssk115_436	1084.935565	11.5	50.3	39.11	1.13E-03	2.00E-04	0.176535572	3.400869565	5.51E-08
ssk115_435	1085.392765	11.7	42.5	39.03	8.93E-04	1.70E-04	0.190627843	3.335897436	5.04E-08
ssk115_434	1086.611965	10.2	40	36.62	1.18E-03	2.07E-04	0.175224888	3.590196078	4.58E-08
ssk115_433	1087.526365	9.5	38.6	34.96	7.62E-04	1.41E-04	0.185722928	3.68	4.44E-08
ssk115_432	1088.440765	11.2	38.7	35.87	4.13E-04	8.15E-05	0.197197539	3.202678571	2.79E-08
ssk115_431	1090.574365	10.3	39.4	36.4	3.65E-04	7.67E-05	0.210191083	3.533980583	2.28E-08
SSK141162	1091.427805	10.3	52.2	32.51	8.19E-04	1.05E-04	0.127548503	3.15631068	2.95E-08
SSK141163	1091.671645	9.7	49.4	34.57	1.02E-03	1.18E-04	0.115780561	3.563917526	2.94E-08
ssk115_430	1091.793565	16.1	54.3	44.24	2.45E-03	5.82E-04	0.237478411	2.747826087	5.34E-08
ssk115_429	1092.707965	10.3	41.3	36.46	1.22E-03	2.01E-04	0.165205136	3.539805825	3.39E-08
ssk115_428	1094.292925	10.5	41.9	35.7	1.26E-03	2.02E-04	0.159973	3.4	3.89E-08
ssk115_427	1094.841565	10.2	40.9	37.75	5.93E-04	9.40E-05	0.158387622	3.700980392	2.51E-08
SSK141164	1095.176845	11.9	53.3	45.2	1.47E-03	1.95E-04	0.132979386	3.798319328	5.31E-08
426_2	1095.451165	15.2	281.7	49.65	1.04E-03	2.01E-04	0.193310165	3.266447368	6.92E-08
SSK141165	1095.573085	10	52.6	34.58	8.78E-04	1.04E-04	0.118247008	3.458	3.30E-08
SSK141166	1096.304605	12.6	110.9	46.29	9.17E-04	1.49E-04	0.162670162	3.673809524	5.15E-08
SSK141167	1096.609405	15.1	51.1	48.66	1.00E-03	1.66E-04	0.165629528	3.222516556	6.02E-08
SSK141168	1097.005645	12.7	52.6	46.91	1.11E-03	1.76E-04	0.158445789	3.693700787	5.68E-08
